,ACRU,CAGL8,LIST2,MAGNO,NYSY,PICL,PIEL,PIPA2,PITA,QUGE2,QUHE2,QULA2,QUNI,QUVI,predicted
0,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,ACRU
1,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,CAGL8
2,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,LIST2
3,0.0,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,MAGNO
4,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.125,NYSY
5,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,PICL
6,0.0,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.6086956521739131,0.0,0.08695652173913043,0.0,0.17391304347826086,0.0,0.0,0.0,PIEL
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9634146341463414,0.0,0.0,0.012195121951219513,0.024390243902439025,0.0,0.0,PIPA2
8,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,PITA
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.09090909090909091,0.0,0.2727272727272727,0.0,QUGE2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.76,0.0,0.08,0.12,QUHE2
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,QULA2
12,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,QUNI
13,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.16666666666666666,0.4444444444444444,0.0,0.0,0.3333333333333333,QUVI
