,domainID,label
0,D01,0
1,D02,1
2,D03,2
3,D04,3
4,D05,4
5,D06,5
6,D07,6
7,D08,7
8,D10,8
9,D11,9
10,D12,10
11,D13,11
12,D16,12
13,D17,13
14,D19,14
