,individual,loss
37,OSBS_contrib1529,0.56899565
41,OSBS_contrib5226,0.8875126
50,OSBS_contrib1558,0.940862
51,OSBS_contrib5262,0.56674874
52,OSBS_contrib5255,0.50461125
54,OSBS_contrib5257,0.49476257
58,OSBS_contrib5259,0.6110702
60,OSBS_contrib1557,0.74566513
61,OSBS_contrib1561,0.9797261
62,OSBS_contrib5240,0.6543675
5,OSBS_contrib5260,0.75898373
6,OSBS_contrib5261,0.929537
8,OSBS_contrib5269,0.9797257
10,OSBS_contrib1567,0.49679682
17,OSBS_contrib1576,0.48879182
19,OSBS_contrib5274,0.50107914
20,OSBS_contrib5275,0.501079
23,OSBS_contrib1572,0.487899
25,OSBS_contrib1578,0.5089063
26,OSBS_contrib5278,0.5045389
27,OSBS_contrib5293,0.56586725
28,OSBS_contrib1573,0.76844966
29,OSBS_contrib1584,0.70006335
31,OSBS_contrib5273,0.5235558
32,OSBS_contrib5277,0.78523403
14,OSBS_contrib1625,0.51216286
18,OSBS_contrib5306,0.73313
30,OSBS_contrib1727,0.4880596
43,OSBS_contrib5367,0.8786239
47,OSBS_contrib5365,0.8350231
51,OSBS_contrib1728,0.6244331
52,OSBS_contrib1732,0.51910126
53,OSBS_contrib1744,0.87511164
54,OSBS_contrib1750,0.6558851
55,OSBS_contrib5352,0.8298009
56,OSBS_contrib5356,0.69384754
57,OSBS_contrib5358,0.5038957
59,OSBS_contrib1756,0.4907127
61,OSBS_contrib1787,0.4874003
62,OSBS_contrib1760,0.5308475
6,OSBS_contrib5398,0.5240472
7,OSBS_contrib5399,0.5240472
11,OSBS_contrib1763,0.50812036
12,OSBS_contrib1777,0.49762908
19,OSBS_contrib5393,0.75936675
20,OSBS_contrib5394,0.49295774
22,OSBS_contrib1773,0.8125359
26,OSBS_contrib5368,0.7103683
32,OSBS_contrib1803,0.49225312
56,OSBS_contrib1790,0.9211191
58,OSBS_contrib1804,0.49422002
60,OSBS_contrib1796,0.4884466
62,OSBS_contrib1832,0.9573123
3,OSBS_contrib1879,0.7080879
