,siteID,label
0,ABBY,0
1,BART,1
2,BLAN,2
3,BONA,3
4,CLBJ,4
5,DEJU,5
6,DELA,6
7,DSNY,7
8,GRSM,8
9,GUAN,9
10,HARV,10
11,HEAL,11
12,JERC,12
13,KONZ,13
14,LENO,14
15,MLBS,15
16,NIWO,16
17,OSBS,17
18,RMNP,18
19,SCBI,19
20,SERC,20
21,SJER,21
22,SOAP,22
23,STEI,23
24,TALL,24
25,TEAK,25
26,TREE,26
27,UKFS,27
28,UNDE,28
29,YELL,29
