siteID,fixed_box_size,max_area
NIWO,0.5,40
JERC,1.5,400
YELL,0.5,100
TEAK,0.5,400
BONA,0.5,40
STEI,1.5,400
SOAP,0.5,400
DEJU,0.5,40
WREF,1.5,400
BART,1.5,400
UNDE,1.5,400
LENO,1.5,400
OSBS,1,400
MLBS,1.5,400
HARV,1.5,400
TREE,1.5,400
GRSM,1.5,400
CLBJ,1.5,400
UKFS,1.5,400
DELA,1.5,400
RMNP,0.5,40
BLAN,1.5,400
TALL,1.5,400
SERC,1.5,400
SJER,1.5,400
